;Unnamed: 0;Tweets;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
72;72;"Tahun kebangkitan MESSI 💪

Sempat menurun pada awal musim 21/22 saat gabung PSG, Lionel Messi kembali tunjukkan keh… https://t.co/raWEB8nSmC";tahun kebangkitan messi sempat menurun pada awal musim   saat gabung psg lionel messi kembali tunjukkan keh corawebnsmc;['tahun', 'kebangkitan', 'messi', 'sempat', 'menurun', 'pada', 'awal', 'musim', 'saat', 'gabung', 'psg', 'lionel', 'messi', 'kembali', 'tunjukkan', 'keh', 'corawebnsmc'];['tahun', 'kebangkitan', 'messi', 'sempat', 'menurun', 'pada', 'awal', 'musim', 'saat', 'gabung', 'psg', 'lionel', 'messi', 'kembali', 'tunjukkan', 'keh', 'corawebnsmc'];tahun kebangkitan messi sempat menurun pada awal musim saat gabung psg lionel messi kembali tunjukkan keh corawebnsmc;tahun kebangkitan messi sempat menurun pada awal musim saat gabung psg lionel messi kembali tunjukkan keh corawebnsmc;tahun bangkit messi sempat turun awal musim gabung psg lionel messi tunjuk keh corawebnsmc
73;73;"Orlando City gilas Toronto FC 4-0 💥 

Gol-gol dari Facundo Torres, Ercan Kara, Tesho Akindele, dan gol bunuh diri L… https://t.co/1V6iEY57Po";orlando city gilas toronto fc     gol gol dari facundo torres ercan kara tesho akindele dan gol bunuh diri covieypo;['orlando', 'city', 'gilas', 'toronto', 'fc', 'gol', 'gol', 'dari', 'facundo', 'torres', 'ercan', 'kara', 'tesho', 'akindele', 'dan', 'gol', 'bunuh', 'diri', 'covieypo'];['orlando', 'city', 'gilas', 'toronto', 'fc', 'gol', 'gol', 'dari', 'facundo', 'torres', 'ercan', 'kara', 'tesho', 'akindele', 'dan', 'gol', 'bunuh', 'diri', 'covieypo'];orlando city gilas toronto fc gol gol dari facundo torres ercan kara tesho akindele dan gol bunuh diri covieypo;orlando city gilas toronto fc gol gol dari facundo torres ercan kara tesho akindele dan gol bunuh diri covieypo;orlando city gilas toronto fc gol gol facundo torres ercan kara tesho akindele gol bunuh diri covieypo
74;74;Agen Arthur Melo, Federico Pastorello, meminta Liverpool untuk bersabar terhadap kliennya. Pasalnya, gelandang asal… https://t.co/rZO43s2C9f;agen arthur melo federico pastorello meminta liverpool untuk bersabar terhadap kliennya pasalnya gelandang asal corzoscf;['agen', 'arthur', 'melo', 'federico', 'pastorello', 'meminta', 'liverpool', 'untuk', 'bersabar', 'terhadap', 'kliennya', 'pasalnya', 'gelandang', 'asal', 'corzoscf'];['agen', 'arthur', 'melo', 'federico', 'pastorello', 'meminta', 'liverpool', 'untuk', 'bersabar', 'terhadap', 'kliennya', 'pasalnya', 'gelandang', 'asal', 'corzoscf'];agen arthur melo federico pastorello meminta liverpool untuk bersabar terhadap kliennya pasalnya gelandang asal corzoscf;agen arthur melo federico pastorello meminta liverpool untuk bersabar terhadap kliennya pasalnya gelandang asal corzoscf;agen arthur melo federico pastorello minta liverpool sabar klien pasal gelandang asal corzoscf
75;75;Akhirnya menang juga 😅 Satu gol dari Romain Hamouma pada menit ke-65 bawa Ajaccio atasi Brest 1-0. Gol ini pun beri… https://t.co/V0ZqUZZMCo;akhirnya menang juga satu gol dari romain hamouma pada menit ke   bawa ajaccio atasi brest     gol ini pun beri covzquzzmco;['akhirnya', 'menang', 'juga', 'satu', 'gol', 'dari', 'romain', 'hamouma', 'pada', 'menit', 'ke', 'bawa', 'ajaccio', 'atasi', 'brest', 'gol', 'ini', 'pun', 'beri', 'covzquzzmco'];['akhirnya', 'menang', 'juga', 'satu', 'gol', 'dari', 'romain', 'hamouma', 'pada', 'menit', 'ke', 'bawa', 'ajaccio', 'atasi', 'brest', 'gol', 'ini', 'pun', 'beri', 'covzquzzmco'];akhirnya menang juga satu gol dari romain hamouma pada menit ke bawa ajaccio atasi brest gol ini pun beri covzquzzmco;akhirnya menang juga satu gol dari romain hamouma pada menit ke bawa ajaccio atasi brest gol ini pun beri covzquzzmco;akhir menang satu gol romain hamouma menit bawa ajaccio atas brest gol pun beri covzquzzmco
76;76;Para pemain dengan nilai termahal di Serie A di semua lini 💸🇮🇹 Dari Mike Maignan hingga Dusan Vlahovic ini dia kese… https://t.co/oX7329jUh4;para pemain dengan nilai termahal di serie di semua lini dari mike maignan hingga dusan vlahovic ini dia kese co;['para', 'pemain', 'dengan', 'nilai', 'termahal', 'di', 'serie', 'di', 'semua', 'lini', 'dari', 'mike', 'maignan', 'hingga', 'dusan', 'vlahovic', 'ini', 'dia', 'kese', 'co'];['para', 'pemain', 'dengan', 'nilai', 'termahal', 'di', 'serie', 'di', 'semua', 'lini', 'dari', 'mike', 'maignan', 'hingga', 'dusan', 'vlahovic', 'ini', 'dia', 'kese', 'co'];para pemain dengan nilai termahal di serie di semua lini dari mike maignan hingga dusan vlahovic ini dia kese co;para pemain dengan nilai termahal di serie di semua lini dari mike maignan hingga dusan vlahovic ini dia kese co;main nilai mahal serie semua lini mike maignan hingga dus vlahovic dia kese co
77;77;Kontrol dan finising mantap Ińaki Williams hingga umpan manis Tchouameni yang diselesaikan dengan apik oleh Rodrygo… https://t.co/YTXdPl0cum;kontrol dan finising mantap aki williams hingga umpan manis tchouameni yang diselesaikan dengan apik oleh rodrygo coyt;['kontrol', 'dan', 'finising', 'mantap', 'aki', 'williams', 'hingga', 'umpan', 'manis', 'tchouameni', 'yang', 'diselesaikan', 'dengan', 'apik', 'oleh', 'rodrygo', 'coyt'];['kontrol', 'dan', 'finising', 'mantap', 'aki', 'williams', 'hingga', 'umpan', 'manis', 'tchouameni', 'yang', 'diselesaikan', 'dengan', 'apik', 'oleh', 'rodrygo', 'coyt'];kontrol dan finising mantap aki williams hingga umpan manis tchouameni yang diselesaikan dengan apik oleh rodrygo coyt;kontrol dan finising mantap aki williams hingga umpan manis tchouameni yang diselesaikan dengan apik oleh rodrygo coyt;kontrol finising mantap aki williams hingga umpan manis tchouameni selesai apik rodrygo coyt
78;78;Keras! Cristiano Ronaldo yang tampil buruk bagi Manchester United dan Portugal disarankan buat pensiun oleh Antonio… https://t.co/Vg2lAKUKB5;keras cristiano ronaldo yang tampil buruk bagi manchester united dan portugal disarankan buat pensiun oleh antonio covglakukb;['keras', 'cristiano', 'ronaldo', 'yang', 'tampil', 'buruk', 'bagi', 'manchester', 'united', 'dan', 'portugal', 'disarankan', 'buat', 'pensiun', 'oleh', 'antonio', 'covglakukb'];['keras', 'cristiano', 'ronaldo', 'yang', 'tampil', 'buruk', 'bagi', 'manchester', 'united', 'dan', 'portugal', 'disarankan', 'buat', 'pensiun', 'oleh', 'antonio', 'covglakukb'];keras cristiano ronaldo yang tampil buruk bagi manchester united dan portugal disarankan buat pensiun oleh antonio covglakukb;keras cristiano ronaldo yang tampil buruk bagi manchester united dan portugal disarankan buat pensiun oleh antonio covglakukb;keras cristiano ronaldo tampil buruk manchester united portugal saran buat pensiun antonio covglakukb
79;79;Gol dari Alexander Sorloth dan Brais Mendez bawa Real Sociedad taklukkan Espanyol pada laga terakhir LaLiga ✌️ Mamp… https://t.co/SByEgbWhfm;gol dari ale sorloth dan brais mendez bawa real sociedad taklukkan espanyol pada laga terakhir laliga mamp cosbyegbwhfm;['gol', 'dari', 'ale', 'sorloth', 'dan', 'brais', 'mendez', 'bawa', 'real', 'sociedad', 'taklukkan', 'espanyol', 'pada', 'laga', 'terakhir', 'laliga', 'mamp', 'cosbyegbwhfm'];['gol', 'dari', 'ale', 'sorloth', 'dan', 'brais', 'mendez', 'bawa', 'real', 'sociedad', 'taklukkan', 'espanyol', 'pada', 'laga', 'terakhir', 'laliga', 'mamp', 'cosbyegbwhfm'];gol dari ale sorloth dan brais mendez bawa real sociedad taklukkan espanyol pada laga terakhir laliga mamp cosbyegbwhfm;gol dari ale sorloth dan brais mendez bawa real sociedad taklukkan espanyol pada laga terakhir laliga mamp cosbyegbwhfm;gol ale sorloth brais mendez bawa real sociedad takluk espanyol laga akhir laliga mamp cosbyegbwhfm
80;80;Fernando Llorente menyatakan dirinya siap untuk menjadi pelapis Karim Benzema di Real Madrid! Perlukah Los Blancos… https://t.co/ebANuc5GX7;fernando llorente menyatakan dirinya siap untuk menjadi pelapis karim benzema di real madrid perlukah los blancos coebanucg;['fernando', 'llorente', 'menyatakan', 'dirinya', 'siap', 'untuk', 'menjadi', 'pelapis', 'karim', 'benzema', 'di', 'real', 'madrid', 'perlukah', 'los', 'blancos', 'coebanucg'];['fernando', 'llorente', 'menyatakan', 'dirinya', 'siap', 'untuk', 'menjadi', 'pelapis', 'karim', 'benzema', 'di', 'real', 'madrid', 'perlukah', 'los', 'blancos', 'coebanucg'];fernando llorente menyatakan dirinya siap untuk menjadi pelapis karim benzema di real madrid perlukah los blancos coebanucg;fernando llorente menyatakan dirinya siap untuk menjadi pelapis karim benzema di real madrid perlukah los blancos coebanucg;fernando llorente nyata diri siap jadi lap karim benzema real madrid perlu los blancos coebanucg
81;81;Gara-gara kartu merah super-cepat Todibo, Nice yang lagi merana kalah 0-1 oleh Angers 😤 Kini, menghadapi PSG yang m… https://t.co/qtxpTMJgKZ;gara gara kartu merah super cepat todibo nice yang lagi merana kalah     oleh angers kini menghadapi psg yang coqt;['gara', 'gara', 'kartu', 'merah', 'super', 'cepat', 'todibo', 'nice', 'yang', 'lagi', 'merana', 'kalah', 'oleh', 'angers', 'kini', 'menghadapi', 'psg', 'yang', 'coqt'];['gara', 'gara', 'kartu', 'merah', 'super', 'cepat', 'todibo', 'nice', 'yang', 'lagi', 'merana', 'kalah', 'oleh', 'angers', 'kini', 'menghadapi', 'psg', 'yang', 'coqt'];gara gara kartu merah super cepat todibo nice yang lagi merana kalah oleh angers kini menghadapi psg yang coqt;gara gara kartu merah super cepat todibo nice yang lagi merana kalah oleh angers kini menghadapi psg yang coqt;gara gara kartu merah super cepat todibo nice lagi merana kalah angers kini hadap psg coqt
