,Tweets,step01,tokens,final_tokens,step02
14,"Apa yang terjadi dengan kedua klub yang biasa dominasi liganya masing-masing ini? 👀

#beINSPORTSID https://t.co/h3JqfwTiaE",apa yang terjadi dengan kedua klub yang biasa dominasi liganya masing masing ini sid cohjqfwtiae,"['apa', 'yang', 'terjadi', 'dengan', 'kedua', 'klub', 'yang', 'biasa', 'dominasi', 'liganya', 'masing', 'masing', 'ini', 'sid', 'cohjqfwtiae']","['apa', 'yang', 'terjadi', 'dengan', 'kedua', 'klub', 'yang', 'biasa', 'dominasi', 'liganya', 'masing', 'masing', 'ini', 'sid', 'cohjqfwtiae']",apa yang terjadi dengan kedua klub yang biasa dominasi liganya masing masing ini sid cohjqfwtiae
15,"Tampil GANAS di barisan belakang Napoli, Bintang Korea Selatan, Kim Min-Jae resmi terpilih jadi pemain terbaik Seri… https://t.co/zwM6eYArqK",tampil ganas di barisan belakang napoli bintang korea selatan kim min jae resmi terpilih jadi pemain terbaik seri cozwmeyarqk,"['tampil', 'ganas', 'di', 'barisan', 'belakang', 'napoli', 'bintang', 'korea', 'selatan', 'kim', 'min', 'jae', 'resmi', 'terpilih', 'jadi', 'pemain', 'terbaik', 'seri', 'cozwmeyarqk']","['tampil', 'ganas', 'di', 'barisan', 'belakang', 'napoli', 'bintang', 'korea', 'selatan', 'kim', 'min', 'jae', 'resmi', 'terpilih', 'jadi', 'pemain', 'terbaik', 'seri', 'cozwmeyarqk']",tampil ganas di barisan belakang napoli bintang korea selatan kim min jae resmi terpilih jadi pemain terbaik seri cozwmeyarqk
16,"Penalti Florian Sotoca dimenit ke-82 akhirnya berikan kemenangan dramatis Lens atas Lyon! Dengan hasil ini, Lens ki… https://t.co/WWjZyBgeGv",penalti florian sotoca dimenit ke   akhirnya berikan kemenangan dramatis lens atas lyon dengan hasil ini lens ki cowwjzybgegv,"['penalti', 'florian', 'sotoca', 'dimenit', 'ke', 'akhirnya', 'berikan', 'kemenangan', 'dramatis', 'lens', 'atas', 'lyon', 'dengan', 'hasil', 'ini', 'lens', 'ki', 'cowwjzybgegv']","['penalti', 'florian', 'sotoca', 'dimenit', 'ke', 'akhirnya', 'berikan', 'kemenangan', 'dramatis', 'lens', 'atas', 'lyon', 'dengan', 'hasil', 'ini', 'lens', 'ki', 'cowwjzybgegv']",penalti florian sotoca dimenit ke akhirnya berikan kemenangan dramatis lens atas lyon dengan hasil ini lens ki cowwjzybgegv
17,Pemain-pemain Real Madrid dan Osasuna mengheningkan cipta sesaat sebelum pertandingan di mulai sebagai bentuk ungka… https://t.co/hQOiaPsuM3,pemain pemain real madrid dan osasuna mengheningkan cipta sesaat sebelum pertandingan di mulai sebagai bentuk ungka cohqoiapsum,"['pemain', 'pemain', 'real', 'madrid', 'dan', 'osasuna', 'mengheningkan', 'cipta', 'sesaat', 'sebelum', 'pertandingan', 'di', 'mulai', 'sebagai', 'bentuk', 'ungka', 'cohqoiapsum']","['pemain', 'pemain', 'real', 'madrid', 'dan', 'osasuna', 'mengheningkan', 'cipta', 'sesaat', 'sebelum', 'pertandingan', 'di', 'mulai', 'sebagai', 'bentuk', 'ungka', 'cohqoiapsum']",pemain pemain real madrid dan osasuna mengheningkan cipta sesaat sebelum pertandingan di mulai sebagai bentuk ungka cohqoiapsum
18,Respek karier menjadi alasan Ten Hag tidak memainkan Ronaldo pada saat Man United di hancurkan Man City 6-3 semalam… https://t.co/MLgkUCvUmW,respek karier menjadi alasan ten hag tidak memainkan ronaldo pada saat man united di hancurkan man city     semalam comlgkucvumw,"['respek', 'karier', 'menjadi', 'alasan', 'ten', 'hag', 'tidak', 'memainkan', 'ronaldo', 'pada', 'saat', 'man', 'united', 'di', 'hancurkan', 'man', 'city', 'semalam', 'comlgkucvumw']","['respek', 'karier', 'menjadi', 'alasan', 'ten', 'hag', 'tidak', 'memainkan', 'ronaldo', 'pada', 'saat', 'man', 'united', 'di', 'hancurkan', 'man', 'city', 'semalam', 'comlgkucvumw']",respek karier menjadi alasan ten hag tidak memainkan ronaldo pada saat man united di hancurkan man city semalam comlgkucvumw
19,Lionel Messi bener-bener comeback nih. Sang bintang kembali mencetak gol dan kali ini lewat sebuah tendangan bebas… https://t.co/ju7ymmC7Hz,lionel messi bener bener comeback nih sang bintang kembali mencetak gol dan kali ini lewat sebuah tendangan bebas cojuymmchz,"['lionel', 'messi', 'bener', 'bener', 'comeback', 'nih', 'sang', 'bintang', 'kembali', 'mencetak', 'gol', 'dan', 'kali', 'ini', 'lewat', 'sebuah', 'tendangan', 'bebas', 'cojuymmchz']","['lionel', 'messi', 'bener', 'bener', 'comeback', 'nih', 'sang', 'bintang', 'kembali', 'mencetak', 'gol', 'dan', 'kali', 'ini', 'lewat', 'sebuah', 'tendangan', 'bebas', 'cojuymmchz']",lionel messi bener bener comeback nih sang bintang kembali mencetak gol dan kali ini lewat sebuah tendangan bebas cojuymmchz
20,"Drama 8 GOL tersaji kala Real Sociedad tumbangkan Girona 5-3 ⛈️ 2 kali tertinggal, La Real akhirnya keluar sebagai… https://t.co/jvPazmWqlR",drama   gol tersaji kala real sociedad tumbangkan girona       kali tertinggal la real akhirnya keluar sebagai cojvpazmwqlr,"['drama', 'gol', 'tersaji', 'kala', 'real', 'sociedad', 'tumbangkan', 'girona', 'kali', 'tertinggal', 'la', 'real', 'akhirnya', 'keluar', 'sebagai', 'cojvpazmwqlr']","['drama', 'gol', 'tersaji', 'kala', 'real', 'sociedad', 'tumbangkan', 'girona', 'kali', 'tertinggal', 'la', 'real', 'akhirnya', 'keluar', 'sebagai', 'cojvpazmwqlr']",drama gol tersaji kala real sociedad tumbangkan girona kali tertinggal la real akhirnya keluar sebagai cojvpazmwqlr
21,"Stefano Pioli puas dengan kemenangan 3-1 AC Milan atas Empoli. Pasalnya, setelah cedera yang terus menimpa, anak as… https://t.co/JJuWFsCCKu",stefano pioli puas dengan kemenangan     ac milan atas empoli pasalnya setelah cedera yang terus menimpa anak as cojjuwfsccku,"['stefano', 'pioli', 'puas', 'dengan', 'kemenangan', 'ac', 'milan', 'atas', 'empoli', 'pasalnya', 'setelah', 'cedera', 'yang', 'terus', 'menimpa', 'anak', 'as', 'cojjuwfsccku']","['stefano', 'pioli', 'puas', 'dengan', 'kemenangan', 'ac', 'milan', 'atas', 'empoli', 'pasalnya', 'setelah', 'cedera', 'yang', 'terus', 'menimpa', 'anak', 'as', 'cojjuwfsccku']",stefano pioli puas dengan kemenangan ac milan atas empoli pasalnya setelah cedera yang terus menimpa anak as cojjuwfsccku
22,"⚽ Troyes 2-2 Reims
Porozo selamatkan Troyes dari kekalahan 😤

⚽ Auxerre 1-1 Brest
Penalti Niang gagalkan kemenangan… https://t.co/mw0NtpTqTL",troyes     reims porozo selamatkan troyes dari kekalahan au     brest penalti niang gagalkan kemenangan comwntptqtl,"['troyes', 'reims', 'porozo', 'selamatkan', 'troyes', 'dari', 'kekalahan', 'au', 'brest', 'penalti', 'niang', 'gagalkan', 'kemenangan', 'comwntptqtl']","['troyes', 'reims', 'porozo', 'selamatkan', 'troyes', 'dari', 'kekalahan', 'au', 'brest', 'penalti', 'niang', 'gagalkan', 'kemenangan', 'comwntptqtl']",troyes reims porozo selamatkan troyes dari kekalahan au brest penalti niang gagalkan kemenangan comwntptqtl
23,"⚽ Ajaccio 1-3 Clermont Foot
2 gol menit akhir menangkan Les Lanciers ⏳

⚽ Toulouse 4-2 Montpellier
Performa apik Le… https://t.co/PUNNBOssIX",ajaccio     clermont foot   gol menit akhir menangkan les lanciers toulouse     montpellier performa apik le copunnbossix,"['ajaccio', 'clermont', 'foot', 'gol', 'menit', 'akhir', 'menangkan', 'les', 'lanciers', 'toulouse', 'montpellier', 'performa', 'apik', 'le', 'copunnbossix']","['ajaccio', 'clermont', 'foot', 'gol', 'menit', 'akhir', 'menangkan', 'les', 'lanciers', 'toulouse', 'montpellier', 'performa', 'apik', 'le', 'copunnbossix']",ajaccio clermont foot gol menit akhir menangkan les lanciers toulouse montpellier performa apik le copunnbossix
